DFHG Author,LOFTS urn
ASCLEPIODOTUS,urn:lofts:fhg.3.asclepiodotus
ZENOBIA,urn:lofts:fhg.3.zenobia
DEXIPPUS ATHENIENSIS,urn:lofts:fhg.3.dexippus_atheniensis
ARRIANUS,urn:lofts:fhg.3.arrianus
PORPHYRIUS TYRIUS,urn:lofts:fhg.3.porphyrius_tyrius
EUSEBIUS,urn:lofts:fhg.3.eusebius
ONASIMUS,urn:lofts:fhg.3.onasimus
CLAUDIUS EUSTHENES,urn:lofts:fhg.3.claudius_eusthenes
PRAXAGORAS ATHENIENSIS,urn:lofts:fhg.4.praxagoras_atheniensis
BEMARCHIUS CAESARIENSIS,urn:lofts:fhg.4.bemarchius_caesariensis
EUSTOCHIUS CAPPADOX,urn:lofts:fhg.4.eustochius_cappadox
MAGNUS CARRHENUS. EUTYCHIANUS CAPPADOX,urn:lofts:fhg.4.magnus_carrhenus_eutychianus_cappadox
EUNAPIUS SARDIANUS,urn:lofts:fhg.4.eunapius_sardianus
OLYMPIODORUS THEBAEUS,urn:lofts:fhg.4.olympiodorus_thebaeus
PRISCUS PANITES,urn:lofts:fhg.4.priscus_panites
MALCHUS PHILADELPHENSIS,urn:lofts:fhg.4.malchus_philadelphensis
CAPITO LYCIUS,urn:lofts:fhg.4.capito_lycius
CANDIDUS ISAURUS,urn:lofts:fhg.4.candidus_isaurus
EUSTATHIUS EPIPHANIENSIS,urn:lofts:fhg.4.eustathius_epiphaniensis
HESYCHIUS MILESIUS,urn:lofts:fhg.4.hesychius_milesius
NONNOSUS,urn:lofts:fhg.4.nonnosus
PETRUS PATRICIUS,urn:lofts:fhg.4.petrus_patricius
ANONYMUS,urn:lofts:fhg.4.anonymus_qui_dionis_cassii_historias_continuavit
MENANDER PROTECTOR,urn:lofts:fhg.4.menander_protector
THEOPHANES BYZANTIUS,urn:lofts:fhg.4.theophanes_byzantius
JOANNES EPIPHANIENSIS,urn:lofts:fhg.4.joannes_epiphaniensis
ABAS,urn:lofts:fhg.4.abas
ABRON VEL HABRON BATIENSIS,urn:lofts:fhg.4.abron_vel_habron_batiensis
ABYDENUS,urn:lofts:fhg.4.abydenus
ACESANDER,urn:lofts:fhg.4.acesander
ACESTODORUS vel ACESTORIDES,urn:lofts:fhg.4.acestodorus_vel_acestorides
(ACHAEUS),urn:lofts:fhg.4.achaeus
AENEAS,urn:lofts:fhg.4.aeneas
ADAEUS MYTILENAEUS,urn:lofts:fhg.4.adaeus_mytilenaeus
AENESIDEMUS,urn:lofts:fhg.4.aenesidemus
AETHLIUS SAMIUS,urn:lofts:fhg.4.aethlius_samius
AGACLYTUS,urn:lofts:fhg.4.agaclytus
AGATHOCLES CYZICENUS VEL BABYLONIUS,urn:lofts:fhg.4.agathocles_cyzicenus_vel_babylonius
AGATHON SAMIUS,urn:lofts:fhg.4.agathon_samius
AGATHONYMUS,urn:lofts:fhg.4.agathonymus
AGESILAUS,urn:lofts:fhg.4.agesilaus
AGIAS (ARGIVUS),urn:lofts:fhg.4.agias_argivus
AGLAOSTHENES,urn:lofts:fhg.4.aglaosthenes
(AGATHOSTHENES),urn:lofts:fhg.4.agathosthenes
AGRIOPAS,urn:lofts:fhg.4.agriopas
AGROETAS,urn:lofts:fhg.4.agroetas
ALCETAS,urn:lofts:fhg.4.alcetas
ALCIMUS SICULUS,urn:lofts:fhg.4.alcimus_siculus
ALEXARCHUS,urn:lofts:fhg.4.alexarchus
ALEXIS SAMIUS,urn:lofts:fhg.4.alexis_samius
AMPHICRATES (ATHENIENSIS),urn:lofts:fhg.4.amphicrates_atheniensis
AMPHILOCHUS,urn:lofts:fhg.4.amphilochus
AMPHION THESPIENSIS,urn:lofts:fhg.4.amphion_thespiensis
ANAXICRATES,urn:lofts:fhg.4.anaxicrates
ANAXILAUS,urn:lofts:fhg.4.anaxilaus
ANDREAS PANORMITANUS,urn:lofts:fhg.4.andreas_panormitanus
ANDRISCUS,urn:lofts:fhg.4.andriscus
ANDROETAS TENEDIUS,urn:lofts:fhg.4.androetas_tenedius
ANDRONICUS ALYPIUS,urn:lofts:fhg.4.andronicus_alypius
ANTENOR,urn:lofts:fhg.4.antenor
ANTIGONUS,urn:lofts:fhg.4.antigonus
ANTILEO,urn:lofts:fhg.4.antileo
ANTILOCHUS,urn:lofts:fhg.4.antilochus
ANTIMACHUS,urn:lofts:fhg.4.antimachus
ANTIOCHUS,urn:lofts:fhg.4.antiochus
ANTIPATER,urn:lofts:fhg.4.antipater
APELLAS SIVE APOLLAS PONTICUS,urn:lofts:fhg.4.apellas_sive_apollas_ponticus
APHRODISIUS VEL EUPHEMIUS,urn:lofts:fhg.4.aphrodisius_vel_euphemius
APOLLODORUS ARTEMITEN,urn:lofts:fhg.4.apollodorus_artemiten
APOLLODORUS ERYTHRAEUS,urn:lofts:fhg.4.apollodorus_erythraeus
APOLLONIDES HORAPION,urn:lofts:fhg.4.apollonides_horapion
APOLLONIUS APHRODISIENSIS,urn:lofts:fhg.4.apollonius_aphrodisiensis
APOLLONIUS ASCALONITA,urn:lofts:fhg.4.apollonius_ascalonita
APOLLONIUS ACHARNENSES,urn:lofts:fhg.4.apollonius_acharnenses
APOLLONIUS RHODIUS,urn:lofts:fhg.4.apollonius_rhodius
APOLLOTHEMIS,urn:lofts:fhg.4.apollothemis
